ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1511079279,2025-05-12T07:45:53.324000,2025-05-12T07:46:04.016000,sell,0.01,0.01,XAUUSD,3219.366,3220.688,3223.05,,-0.11,0,-1.32,,,user
1508061841,2025-05-09T07:16:39.003000,2025-05-09T07:20:30.926000,buy,0.01,0.01,XAUUSD,3327.921,3325.767,3325.767,3337.243,-0.11,0,-2.15,,,sl
1506462830,2025-05-08T13:19:14.057000,2025-05-08T13:20:59.619000,buy,0.02,0.02,XAUUSD,3363.164,3361.323,3360.756,,-0.22,0,-3.68,,,user
1504118765,2025-05-07T13:25:44.669000,2025-05-07T13:30:48.759000,sell,0.03,0.03,BTCUSD,96714.83,96765.05,96765.05,96477.5,-0.48,0,-1.51,,,sl
1504116552,2025-05-07T13:25:00.287000,2025-05-07T13:25:13.813000,buy,0.04,0.04,BTCUSD,96742.03,96722.85,96501.69,96811.92,-0.64,0,-0.77,,,user
1501427068,2025-05-06T10:04:00.559000,2025-05-06T10:05:16.498000,buy,0.03,0.03,XAUUSD,3383.606,3381.7525560722024,3381.103,3388.519,-0.33,0,-5.56,,,user
1500170911,2025-05-05T18:46:18.163000,2025-05-05T18:48:47.334000,buy,0.03,0.03,XAUUSD,3322.134,3321.422369438311,3320.689,3327.579,-0.33,0,-2.13,,,user
1495634744,2025-05-02T05:56:19.496000,2025-05-02T05:57:32.620000,sell,0.04,0.04,BTCUSD,96583.3,96654.5,96654.5,96408.86,-0.64,0,-2.85,,,sl
1495565105,2025-05-02T05:01:55.642000,2025-05-02T05:03:05.219000,sell,0.03,0.03,XAUUSD,3250.405,3251.24715525827,3252.033,3246.906,-0.33,0,-2.53,,,user
1493473803,2025-05-01T06:03:45.330000,2025-05-01T06:15:48.619000,buy,0.03,0.03,XAUUSD,3239.33,3235.962,3235.962,3245.577,-0.33,0,-10.1,,,sl
1490427732,2025-04-29T20:32:48.735000,2025-04-29T20:37:02.497000,sell,0.03,0.03,XAUUSD,3319.708,3321.124,3321.124,3314.822,-0.33,0,-4.25,,,sl
1488950072,2025-04-29T06:31:13.634000,2025-04-29T06:39:09.724000,buy,0.03,0.03,XAUUSD,3321.7,3319.583,3319.583,3328.108,-0.33,0,-6.35,,,sl
1486746207,2025-04-28T07:05:12.695000,2025-04-28T07:05:27.479000,sell,0.04,0.04,XAUUSD,3278.548,3279.86,3279.86,3274.88,-0.44,0,-5.25,,,sl
1482254989,2025-04-24T13:17:07.789000,2025-04-24T13:23:26.517000,sell,0.01,0.01,XAUUSD,3328.281,3330.212,3330.212,,-0.11,0,-1.93,,,sl
1482250970,2025-04-24T13:15:28.500000,2025-04-24T13:16:22.922000,sell,0.03,0.03,XAUUSD,3328.25,3329.571,3329.571,3321.748,-0.33,0,-3.96,,,sl
1471744310,2025-04-17T14:40:26.380000,2025-04-17T14:41:03.861000,sell,0.02,0.02,XAUUSD,3292.786,3294.843,3294.843,3285.191,-0.22,0,-4.12,,,sl
1469184686,2025-04-16T12:38:28.153000,2025-04-16T12:40:42.906000,sell,0.03,0.03,XAUUSD,3305.4,3307.345,3307.345,3298.688,-0.33,0,-5.84,,,sl
1466753401,2025-04-15T11:37:33.096000,2025-04-15T11:56:19.171000,sell,0.02,0.02,XAUUSD,3219.491,3220.628,3221.145,3215.589,-0.22,0,-2.28,,,user
1466744595,2025-04-15T11:31:12.139000,2025-04-15T11:31:48.762000,sell,0.04,0.04,XAUUSD,3219.487,3220.492,3220.637,3215.312,-0.44,0,-4.02,,,user
1464786330,2025-04-14T11:06:29.863000,2025-04-14T11:14:23.816000,buy,0.01,0.01,XAUUSD,3217.272,3222.118,3213.788,,-0.11,0,4.85,,,user
1464778970,2025-04-14T11:04:08.840000,2025-04-14T11:06:06.523000,buy,0.03,0.03,XAUUSD,3216.169,3216.061,3216.237,3223.703,-0.33,0,-0.33,,,sl
1460746249,2025-04-11T05:45:21.995000,2025-04-11T05:45:42.480000,sell,0.04,0.04,XAUUSD,3189.676,3190.752,3190.302,3183.822,-0.44,0,-4.31,,,sl
1458646567,2025-04-10T10:15:27.137000,2025-04-10T10:16:22.606000,buy,0.03,0.03,XAUUSD,3118.9,3117.916,3117.916,3122.256,-0.33,0,-2.95,,,sl
1458550442,2025-04-10T09:19:20.376000,2025-04-10T09:39:32.101000,buy,0.03,0.03,AUDUSD,0.61633,0.61578,0.61578,0.6193,-0.21,0,-1.65,,,sl
1456718225,2025-04-09T14:18:29.850000,2025-04-09T14:18:36.469000,buy,0.03,0.03,XAUUSD,3079.677,3079.399,3079.399,3082.269,-0.33,0,-0.83,,,sl
1456320160,2025-04-09T12:01:28.262000,2025-04-09T12:01:31.785000,buy,0.03,0.03,XAUUSD,3068.187,3068.781,3066.378,3075.346,-0.33,0,1.78,,,user
1453022090,2025-04-08T07:45:17.328000,2025-04-08T07:45:35.991000,sell,0.05,0.05,XAUUSD,3002.405,3003.56,3003.56,3000.325,-0.55,0,-5.77,,,sl
1452883448,2025-04-08T06:35:16.396000,2025-04-08T06:42:03.844000,buy,0.03,0.03,XAUUSD,3013.745,3013.752,3013.752,3018.914,-0.33,0,0.02,,,sl
1450982351,2025-04-07T12:03:09.145000,2025-04-07T12:03:38.214000,sell,0.01,0.01,XAUUSD,3030.29,3029.609,3031.974,3027.109,-0.11,0,0.68,,,user
1450972875,2025-04-07T12:00:11.244000,2025-04-07T12:02:35.392000,sell,0.03,0.03,XAUUSD,3030.267,3030.257,3030.257,3026.332,-0.33,0,0.03,,,sl
1450804371,2025-04-07T10:31:04.358000,2025-04-07T10:31:17.636000,buy,0.04,0.04,XAUUSD,3033.65,3033.843,3031.816,3038.455,-0.44,0,0.77,,,user
1444313715,2025-04-04T07:02:00.739000,2025-04-04T07:04:31.958000,sell,0.02,0.03,XAUUSD,3099.623,3097.968,3099.595,3093.502,-0.33,0,3.31,,,user
1444313715,2025-04-04T07:02:00.739000,2025-04-04T07:03:17.841000,sell,0.01,0.03,XAUUSD,3099.623,3096.7960000000003,3099.595,3093.502,,0,2.82,,,user
1442783980,2025-04-03T12:31:47.585000,2025-04-03T12:35:52.043000,sell,0.01,0.01,XAUUSD,3073.483,3066.9230000000002,3070.987,,-0.11,0,6.56,,,user
1442184508,2025-04-03T08:02:23.028000,2025-04-03T08:04:16.452000,buy,0.03,0.03,XAUUSD,3130.312,3129.513,3128.021,3137.339,-0.33,0,-2.4,,,user
1439206508,2025-04-02T09:24:43.588000,2025-04-02T09:24:47.915000,sell,0.04,0.04,XAUUSD,3127.921,3128.291,3130.742,3122.068,-0.44,0,-1.48,,,user
1439071511,2025-04-02T08:05:57.279000,2025-04-02T08:10:50.968000,buy,0.04,0.04,XAUUSD,3126.058,3125.327,3125.327,3131.635,-0.44,0,-2.92,,,sl
1437621577,2025-04-01T12:31:46.703000,2025-04-01T12:33:01.622000,buy,0.05,0.05,XAUUSD,3134.3,3133.334,3133.334,3137.056,-0.55,0,-4.83,,,sl
1435645462,2025-03-31T10:31:15.573000,2025-03-31T10:34:18.307000,buy,0.03,0.03,XAUUSD,3118.924,3122.184,3119.077,3124.188,-0.33,0,9.78,,,user
1432900542,2025-03-28T11:16:11.423000,2025-03-28T11:56:49.020000,buy,0.03,0.03,XAUUSD,3077.055,3077.431,3076.314,3083.492,-0.33,0,1.12,,,user
1430948952,2025-03-27T10:02:20.847000,2025-03-27T10:07:25.640000,buy,0.02,0.02,XAUUSD,3041.182,3044.156,3041.194,3044.156,-0.22,0,5.95,,,tp
1429499528,2025-03-26T12:10:04.708000,2025-03-26T12:15:29.238000,sell,0.02,0.02,XAUUSD,3026.619,3027.523,3028.902,3022.783,-0.22,0,-1.81,,,user
1429400060,2025-03-26T10:42:21.584000,2025-03-26T10:44:30.482000,buy,0.03,0.03,XAUUSD,3023.703,3022.735,3021.431,3029.022,-0.33,0,-2.9,,,user
1427893693,2025-03-25T12:03:40.320000,2025-03-25T12:07:20.819000,sell,0.03,0.03,XAUUSD,3020.253,3018.639,3018.639,3015.33,-0.33,0,4.84,,,sl
1423104912,2025-03-21T08:02:55.180000,2025-03-21T08:11:02.212000,buy,0.02,0.02,XAUUSD,3033.83,3031.632,3031.164,3042.187,-0.22,0,-4.4,,,user
1421359951,2025-03-20T12:18:19.313000,2025-03-20T12:40:22.558000,buy,0.01,0.01,XAUUSD,3036.347,3039.159,3033.381,3044.711,-0.11,0,2.81,,,user
1416385940,2025-03-18T09:30:45.124000,2025-03-18T09:32:54.026000,sell,0.01,0.01,XAUUSD,3022.34,3020.766,3025.674,3016.544,-0.11,0,1.57,,,user
